Rank,Title,Sales(millions),Series,Platform(s),Releaseyear,Developer(s),Publisher(s),Ref.,Sales_million,Year
1,Minecraft,350,Minecraft,Multi-platform,2011,Mojang Studios,Mojang Studios,,350.0,2011
2,Grand Theft Auto V,220,Grand Theft Auto,Multi-platform,2013,Rockstar North,Rockstar Games,,220.0,2013
3,Wii Sports,82.9,Wii,Wii,2006,Nintendo EAD,Nintendo,,82.9,2006
4,Red Dead Redemption 2,79,Red Dead,Multi-platform,2018,Rockstar Games,Rockstar Games,,79.0,2018
5,Mario Kart 8 / Deluxe,78.02,Mario Kart,Wii U / Switch,2014,Nintendo EAD / Nintendo EPD (Deluxe),Nintendo,,78.02,2014
6,PUBG: Battlegrounds,75,PUBG Universe,Multi-platform,2017,PUBG Studios,Krafton,,75.0,2017
7,Terraria,64,None,Multi-platform,2011,Re-Logic,Re-Logic / 505 Games,,64.0,2011
8,The Witcher 3: Wild Hunt,60,The Witcher,Multi-platform,2015,CD Projekt Red,CD Projekt,,60.0,2015
9,Super Mario Bros.,58,Super Mario,Multi-platform,1985,Nintendo R&D4,Nintendo,,58.0,1985
10,Human: Fall Flat,55,None,Multi-platform,2016,No Brakes Games,Curve Digital,,55.0,2016
11,Overwatch,50,Overwatch,Multi-platform,2016,Blizzard Entertainment,Blizzard Entertainment,,50.0,2016
13,Animal Crossing: New Horizons,48.62,Animal Crossing,Nintendo Switch,2020,Nintendo EPD,Nintendo,,48.62,2020
14,Pokémon Red / Blue / Yellow,47.44,Pokémon,Multi-platform,1996,Game Freak,Nintendo,,47.44,1996
15,Wii Fit / Plus,43.8,Wii,Wii,2007,Nintendo EAD,Nintendo,,43.8,2007
16,Call of Duty: Black Ops III,43,Call of Duty,Multi-platform,2015,Treyarch,Activision,,43.0,2015
17,Call of Duty: Modern Warfare,41,Call of Duty,Multi-platform,2019,Infinity Ward,Activision,,41.0,2019
19,Payday 2,40,Payday,Multi-platform,2013,Overkill Software,505 Games,,40.0,2013
21,Mario Kart Wii,37.38,Mario Kart,Wii,2008,Nintendo EAD,Nintendo,,37.38,2008
22,Super Smash Bros. Ultimate,36.93,Super Smash Bros.,Nintendo Switch,2018,Bandai Namco Studios / Sora Ltd.,Nintendo,,36.93,2018
23,The Legend of Zelda: Breath of the Wild,35.04,The Legend of Zelda,Multi-platform,2017,Nintendo EPD,Nintendo,,35.04,2017
24,Tetris (Game Boy),35,Tetris,Game Boy,1989,Nintendo R&D1,Nintendo,,35.0,1989
25,Hogwarts Legacy,34,Wizarding World,Multi-platform,2023,Avalanche Software,Warner Bros. Games,,34.0,2023
26,Wii Sports Resort,33.14,Wii,Wii,2009,Nintendo EAD,Nintendo,,33.14,2009
27,New Super Mario Bros.,30.8,Super Mario,Nintendo DS,2006,Nintendo EAD,Nintendo,,30.8,2006
28,New Super Mario Bros. Wii,30.32,Super Mario,Wii,2009,Nintendo EAD,Nintendo,,30.32,2009
29,Pokémon Gold / Silver / Crystal,30.12,Pokémon,Game Boy Color,1999,Game Freak,Nintendo,,30.12,1999
30,Elden Ring,30,Elden Ring,Multi-platform,2022,FromSoftware,Bandai Namco,,30.0,2022
35,Super Mario Odyssey,29.84,Super Mario,Nintendo Switch,2017,Nintendo EPD,Nintendo,,29.84,2017
36,Monster Hunter: World,29.1,Monster Hunter,Multi-platform,2018,Capcom,Capcom,,29.1,2018
37,Duck Hunt,28.3,None,Famicom / NES,1984,Nintendo R&D1,Nintendo,,28.3,1984
38,Wii Play,28.02,Wii,Wii,2006,Nintendo EAD,Nintendo,,28.02,2006
39,Black Myth: Wukong,28,Black Myth,Multi-platform,2024,Game Science,Game Science,,28.0,2024
40,Pokémon Scarlet / Violet,27.61,Pokémon,Nintendo Switch,2022,Game Freak,Nintendo / The Pokémon Company,,27.61,2022
41,Pokémon Sword / Shield,26.96,Pokémon,Nintendo Switch,2019,Game Freak,Nintendo / The Pokémon Company,,26.96,2019
42,Call of Duty: Modern Warfare 3,26.5,Call of Duty,Multi-platform,2011,Infinity Ward / Sledgehammer,Activision,,26.5,2011
43,Call of Duty: Black Ops,26.2,Call of Duty,Multi-platform,2010,Treyarch,Activision,,26.2,2010
44,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,25.59,Pokémon,Nintendo 3DS,2016,Game Freak,Nintendo / The Pokémon Company,,25.59,2016
45,Garry's Mod,25.56,None,PC,2006,Facepunch Studios,Valve,,25.56,2006
46,Pokémon Diamond / Pearl / Platinum,25.5,Pokémon,Nintendo DS,2006,Game Freak,Nintendo / The Pokémon Company,,25.5,2006
47,Phasmophobia,25,None,Multi-platform,TBA,Kinetic Games,Kinetic Games,,25.0,
49,New Super Mario Bros. U / Deluxe,24.35,Super Mario,Wii U / Switch,2012,Nintendo EAD,Nintendo,,24.35,2012
50,Call of Duty: Black Ops II,24.2,Call of Duty,Multi-platform,2012,Treyarch,Activision,,24.2,2012
